public_identifier,block,lot_number,official_area_sqm,revision,geometry_version,source_area,source_area_sha256,source_topology,source_topology_sha256,physical_group,lineage_status,commercial_release,geometry_sha256
Q-R-01,R,01,896.85,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R dupla oeste superior,PENDING,NOT_AUTHORIZED,60bea6d31b03890b51a59a4b5856db832faa976390a11cd41ae85df18f06fbf7
Q-R-02,R,02,896.85,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R dupla oeste inferior,PENDING,NOT_AUTHORIZED,3b5d47e9a3ad0aa22f8421979e8a93b51857f96602ff8bd33de48326cb430b8b
Q-R-03,R,03,650.00,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R dupla central superior,PENDING,NOT_AUTHORIZED,fbbd721216259bf9f6d50e631f0fa7de259c14d58c6abf8886dc080928e036b6
Q-R-04,R,04,644.75,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R dupla central inferior,PENDING,NOT_AUTHORIZED,dd1c28e09a3ab5fb844ecfdabf919f34726420c17709eaef1d2703104e4c140c
Q-R-05,R,05,450.00,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R superior oeste,PENDING,NOT_AUTHORIZED,0c9dd4c98f31c9d4f352c68718a3459903d3547283c18c029d713a1193f19999
Q-R-06,R,06,450.00,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R superior oeste,PENDING,NOT_AUTHORIZED,5af75aec7865d6e5ace43902c9cd7f664d26522ba53e26fe4cf224ff329af1d0
Q-R-07,R,07,450.00,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R superior oeste,PENDING,NOT_AUTHORIZED,005203ed638d6be24562103e6c8ff7b2e92a032aca1a8bf7b9fbdba906c8900d
Q-R-08,R,08,450.00,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R superior oeste,PENDING,NOT_AUTHORIZED,3b7c075bbc1d815d5567b26b91ae508ce704d77785328b86f9e832b95003a07f
Q-R-09,R,09,453.42,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R superior central oeste,PENDING,NOT_AUTHORIZED,7c3d95ff3fa2b168cac077da55a1da1532471b52d04e89fb5431f35edd3c98b7
Q-R-10,R,10,453.42,2028-exporural-2026-09-25.1,6,Fenasoja_Parque_Ajustes_300dpi.png,37e04a91c738ce4f4f3a1470f5c02d5eed010138e11982a41344a9984e5fb323,Fenasoja_So_Numeros_300dpi.png,63b86b947f75e1a0c7b50125824c37ecd35f0f50c9c1f75e0c788c029ed3052e,R superior central oeste,PENDING,NOT_AUTHORIZED,327941ced90a18d120a131ef9a35a6408a2d57012276effe1c680df383d9630a
